Stocks_name,PE,PB,ROE,ROA
LCM,N/A,0.8,-0.3,-0.2
LDG,34.0,1.5,4.5,2.2
LEC,142.0,1.1,0.7,0.3
LGC,49.5,3.1,4.6,1.7
LGL,472.2,0.9,0.2,0.1
LHG,9.0,1.8,21.8,10.5
LIX,9.8,2.2,24.5,15.5
LM8,10.0,0.5,4.9,1.0
LPB,9.8,1.7,18.5,1.1
LSS,27.3,0.6,2.2,1.3
MBB,10.2,2.2,22.6,2.4
MCG,N/A,2.5,-16.1,-4.1
MCP,22.1,2.2,10.3,6.4
MDG,11.7,1.2,10.3,4.5
MHC,10.6,0.9,8.2,4.1
MIG,14.5,1.9,13.7,3.7
MSB,10.1,1.8,20.5,2.1
MSH,9.2,2.9,29.2,15.1
MSN,21.5,5.6,27.3,7.1
MWG,19.8,4.8,27.3,9.3
NAF,14.4,1.4,10.5,5.2
NAV,12.9,1.8,N/A,N/A
NBB,9.6,1.7,18.4,7.8
NCT,10.0,4.9,50.9,42.8
NHA,1061.2,6.0,0.8,0.6
NHH,15.3,1.7,11.5,3.9
NHT,N/A,2.4,N/A,N/A
NKG,4.4,1.7,50.0,17.7
NLG,19.4,2.3,10.1,5.3
NNC,15.4,2.0,13.1,10.4
NSC,6.5,1.4,17.8,11.5
NT2,12.4,1.6,12.8,7.9
NTL,9.1,1.8,19.8,13.2
NVL,45.0,4.1,8.4,1.9
NVT,N/A,5.8,-11.9,-7.0
OCB,8.3,1.7,22.6,2.6
OGC,19.5,4.6,11.4,4.0
OPC,11.8,2.2,N/A,N/A
ORS,24.6,2.5,16.3,6.0
PAC,10.0,2.0,22.0,6.9
PAN,23.3,1.7,4.6,2.4
PC1,11.1,1.6,12.3,4.6
PDN,11.2,2.5,23.7,15.1
PDR,22.5,5.9,26.6,10.1
PET,19.7,2.8,14.4,3.8
PGC,13.5,1.9,14.6,5.5
PGD,12.9,2.4,18.5,7.9
PGI,7.7,1.5,21.8,5.4
PGV,13.6,2.5,19.0,4.3
PHC,13.4,1.1,11.3,2.6
PHR,20.1,3.6,16.8,8.8
PIT,N/A,1.1,-4.7,-1.7
PJT,13.6,1.0,8.7,4.2
PLP,6.9,1.2,22.6,7.2
PLX,28.0,3.2,10.6,4.4
PMG,N/A,2.2,-3.8,-1.8
PNC,N/A,0.7,-9.5,-2.9
PNJ,22.7,3.9,18.3,11.3
POM,19.8,1.1,5.7,1.7
POW,22.8,1.4,5.6,3.2
PPC,24.9,1.5,5.1,4.5
PSH,11.4,2.0,18.6,3.1
PTB,10.8,2.4,23.6,9.7
PTC,23.4,3.8,19.8,15.6
PTL,46.5,1.8,3.9,2.4
PVD,763.8,1.1,0.1,0.1
PVT,12.1,1.6,10.2,5.5
PXI,N/A,1.1,-14.4,-7.3
PXS,189.3,2.3,1.2,0.3
QBS,925.3,0.7,0.1,0.0
QCG,57.3,0.9,1.5,0.6
RAL,8.0,2.3,33.1,8.6
